player_name,tf_season,days_remaining
Roberto,2013,1436.0
Roberto,2011,
José Moreira,2011,
Júlio César,2011,
David Luiz,2010,1611.0
David Luiz,2006,0.0
Luisão,2018,278.0
Sidnei,2015,343.0
Sidnei,2014,668.0
Sidnei,2013,1068.0
Sidnei,2011,1826.0
Jardel,2021,
Fábio Faria,2012,729.0
Fábio Faria,2011,911.0
Fábio Faria,2011,1064.0
Fábio Faria,2010,1276.0
Roderick Miranda,2013,2190.0
Roderick Miranda,2012,2525.0
Roderick Miranda,2011,2860.0
Fábio Coentrão,2011,1456.0
Fábio Coentrão,2008,
Fábio Coentrão,2008,
Fábio Coentrão,2007,
Lionel Carole,2012,1460.0
Lionel Carole,2011,1765.0
Maximiliano Pereira,2015,
Luís Filipe,2011,
Luís Filipe,2008,
Javi García,2012,
Airton,2015,
Airton,2014,363.0
Airton,2013,911.0
Airton,2012,1217.0
Airton,2011,1826.0
Rúben Amorim,2016,452.0
Rúben Amorim,2015,
Rúben Amorim,2011,2372.0
José Luis Fernández,2013,
José Luis Fernández,2012,180.0
José Luis Fernández,2012,
José Luis Fernández,2011,1276.0
José Luis Fernández,2011,
César Peixoto,2011,
Nico Gaitán,2016,1094.0
Pablo Aimar,2013,
Carlos Martins,2013,
Carlos Martins,2011,
Felipe Menezes,2013,364.0
Felipe Menezes,2012,729.0
Felipe Menezes,2011,1095.0
Eduardo Salvio,2019,1078.0
Eduardo Salvio,2010,0.0
Javier Saviola,2012,304.0
Óscar Cardozo,2014,694.0
Franco Jara,2014,
Franco Jara,2013,1055.0
Franco Jara,2012,1435.0
Franco Jara,2011,
Alan Kardec,2014,364.0
Alan Kardec,2013,729.0
Alan Kardec,2011,1460.0
Nuno Gomes,2011,
Nuno Gomes,2000,
Weldon,2011,
Artur Moraes,2015,
Eduardo,2011,0.0
Mika,2012,1460.0
Bruno Varela,2020,680.0
Bruno Varela,2019,1095.0
Bruno Varela,2018,1248.0
Bruno Varela,2016,729.0
Ezequiel Garay,2014,
Luisão,2018,278.0
Jardel,2021,
Miguel Vítor,2013,
Miguel Vítor,2010,
Miguel Vítor,2007,
Fábio Faria,2012,729.0
Fábio Faria,2011,911.0
Fábio Faria,2011,1064.0
Fábio Faria,2010,1276.0
Émerson,2012,
Joan Capdevila,2012,
Luís Martins,2012,729.0
Maximiliano Pereira,2015,
André Almeida,2022,
André Almeida,2011,4379.0
Axel Witsel,2012,
Javi García,2012,
Nemanja Matić,2013,1627.0
Enzo Pérez,2014,545.0
Enzo Pérez,2011,1603.0
Bruno César,2012,
Rúben Amorim,2016,452.0
Rúben Amorim,2015,
Rúben Amorim,2011,2372.0
David Simão,2013,729.0
David Simão,2012,1064.0
David Simão,2011,1276.0
David Simão,2010,1429.0
David Simão,2009,
Nico Gaitán,2016,1094.0
Pablo Aimar,2013,
Nolito,2013,1095.0
Nolito,2012,1248.0
Yannick Djaló,2015,149.0
