"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Ederson","2017","Man City",2023-06-30,2190
"Júlio César","2017","Without Club",2018-06-30,214
"Paulo Lopes","2018","Retired",NA,NA
"Paulo Lopes","2002","Salgueiros",NA,NA
"Paulo Lopes","2099","Gil Vicente",NA,NA
"Victor Lindelöf","2017","Man Utd",2021-06-30,1460
"Lisandro López","2019","Boca Juniors",2021-06-30,546
"Lisandro López","2018","Boca Juniors",2021-06-30,882
"Lisandro López","2018","Genoa",2021-06-30,1057
"Lisandro López","2017","Inter",2021-06-30,1262
"Lisandro López","2013","Getafe",2018-06-30,1763
"Jardel","2021","Without Club",NA,NA
"Luisão","2018","Retired",2019-06-30,278
"Yuri Ribeiro","2019","Nottm Forest",2023-06-30,1453
"Eliseu","2018","Retired",NA,NA
"Marcelo Hermes","2018","Cruzeiro",2021-06-30,887
"Marcelo Hermes","2017","Cruzeiro",2021-06-30,1269
"Nélson Semedo","2017","Barcelona",2021-06-30,1447
"André Almeida","2022","Without Club",NA,NA
"André Almeida","2011","Leiria",2023-06-30,4379
"Pedro Pereira","2022","Monza",NA,NA
"Pedro Pereira","2021","Monza",2022-06-30,342
"Pedro Pereira","2020","Crotone",2022-06-30,647
"Pedro Pereira","2019","Bristol City",2022-06-30,1058
"Pedro Pereira","2017","Genoa",2022-06-30,1618
"Ljubomir Fejsa","2020","Al-Ahli SFC",2021-06-30,279
"Ljubomir Fejsa","2019","Alavés",2021-06-30,518
"Andreas Samaris","2021","Without Club",2023-06-30,668
"Danilo Barbosa","2016","SC Braga",2017-06-30,157
"Filipe Augusto","2018","Rio Ave FC",2022-06-30,1247
"Filipe Augusto","2017","Alanyaspor",2022-06-30,1617
"Guillermo Celis","2017","Vit. Guimarães",2021-06-30,1443
"Guillermo Celis","2016","Vit. Guimarães",2021-06-30,1611
"André Carrillo","2019","Al-Hilal SFC",2021-06-30,708
"André Carrillo","2018","Al-Hilal SFC",2021-06-30,1076
"André Carrillo","2017","Watford",2021-06-30,1406
"André Horta","2018","LAFC",2021-06-30,1086
"André Horta","2017","SC Braga",2021-06-30,1400
"Pizzi","2022","Al-Wahda FC",2023-06-30,338
"Pizzi","2021","Basaksehir",2023-06-30,507
"Pizzi","2013","Espanyol",2023-06-30,3624
"Franco Cervi","2021","Celta de Vigo",2023-06-30,725
"Eduardo Salvio","2019","Boca Juniors",2022-06-30,1078
"Eduardo Salvio","2010","Atlético Madrid",2011-06-30,0
"Andrija Zivkovic","2020","PAOK Salonika",2021-06-30,295
"Gonçalo Guedes","2022","Wolves",2023-06-30,0
"Gonçalo Guedes","2016","Paris SG",2021-06-30,1617
"Jonas","2019","Retired",2020-06-30,357
"Raúl Jiménez","2019","Wolves",2021-06-30,730
"Raúl Jiménez","2018","Wolves",2020-06-30,730
"Konstantinos Mitroglou","2017","Marseille",2020-06-30,1034
"Konstantinos Mitroglou","2015","Fulham",2016-06-30,0
"Luka Jović","2019","E. Frankfurt",2021-06-30,730
"Luka Jović","2017","E. Frankfurt",2021-06-30,1460
