"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Artur Moraes","2015","Osmanlispor",NA,NA
"Mika","2012","Benfica B",2016-06-30,1460
"Paulo Lopes","2018","Retired",NA,NA
"Paulo Lopes","2002","Salgueiros",NA,NA
"Paulo Lopes","2099","Gil Vicente",NA,NA
"Ezequiel Garay","2014","Zenit S-Pb",NA,NA
"Luisão","2018","Retired",2019-06-30,278
"Jardel","2021","Without Club",NA,NA
"Sidnei","2015","Dep. La Coruña",2016-06-30,343
"Sidnei","2014","Dep. La Coruña",2016-06-30,668
"Sidnei","2013","Espanyol",2016-06-30,1068
"Sidnei","2011","Besiktas",2016-06-30,1826
"Miguel Vítor","2013","PAOK Salonika",NA,NA
"Miguel Vítor","2010","Leicester",NA,NA
"Miguel Vítor","2007","Desportivo Aves",NA,NA
"Roderick Miranda","2013","Rio Ave FC",2019-06-30,2190
"Roderick Miranda","2012","Dep. La Coruña",2019-06-30,2525
"Roderick Miranda","2011","Servette FC",2019-06-30,2860
"Luísinho","2014","Dep. La Coruña",NA,NA
"Luísinho","2013","Dep. La Coruña",2016-06-30,1052
"Luís Martins","2012","Benfica B",2014-06-30,729
"Maximiliano Pereira","2015","FC Porto",NA,NA
"André Almeida","2022","Without Club",NA,NA
"André Almeida","2011","Leiria",2023-06-30,4379
"João Cancelo","2015","Valencia",2018-06-30,1095
"João Cancelo","2014","Valencia",2018-06-30,1410
"Axel Witsel","2012","Zenit S-Pb",NA,NA
"Javi García","2012","Man City",NA,NA
"Nemanja Matić","2013","Chelsea",2018-06-30,1627
"Enzo Pérez","2014","Valencia",2016-06-30,545
"Enzo Pérez","2011","Estudiantes",2016-06-30,1603
"Bruno César","2012","Al-Ahli SFC",NA,NA
"André Gomes","2015","Valencia",2016-06-30,365
"André Gomes","2014","Valencia",2016-06-30,714
"Miguel Rosa","2012","Benfica B",2016-06-30,1460
"Miguel Rosa","2010","Belenenses",2011-06-30,364
"Miguel Rosa","2009","Carregado",2011-06-30,729
"Miguel Rosa","2008","Estoril Praia",2011-06-30,1063
"Nico Gaitán","2016","Atlético Madrid",2019-06-30,1094
"Pablo Aimar","2013","Johor DT",NA,NA
"Carlos Martins","2013","Benfica B",NA,NA
"Carlos Martins","2011","Granada CF",NA,NA
"Felipe Menezes","2013","Palmeiras",2014-06-30,364
"Felipe Menezes","2012","Sport Recife",2014-06-30,729
"Felipe Menezes","2011","Botafogo",2014-06-30,1095
"Ola John","2017","Benfica B",2019-06-30,729
"Ola John","2016","Dep. La Coruña",2019-06-30,898
"Ola John","2016","Wolves",2019-06-30,1041
"Ola John","2015","Reading",2018-06-30,1033
"Ola John","2013","Hamburger SV",2019-06-30,1990
"Nolito","2013","Celta de Vigo",2016-06-30,1095
"Nolito","2012","Granada CF",2016-06-30,1248
"Lorenzo Melgarejo","2013","Kuban Krasnodar",2016-06-30,1032
"Lorenzo Melgarejo","2011","Paços Ferreira",2016-06-30,1825
"Eduardo Salvio","2019","Boca Juniors",2022-06-30,1078
"Eduardo Salvio","2010","Atlético Madrid",2011-06-30,0
"Jonathan Urretaviscaya","2013","Benfica B",2015-06-30,729
"Jonathan Urretaviscaya","2011","Vit. Guimarães",2015-06-30,1399
"Jonathan Urretaviscaya","2010","Peñarol",2013-06-30,880
"Jonathan Urretaviscaya","2010","Dep. La Coruña",NA,NA
"Jonathan Urretaviscaya","2009","Peñarol",NA,NA
"Javier Saviola","2012","Málaga CF",2013-06-30,304
"Óscar Cardozo","2014","Trabzonspor",2016-06-30,694
"Lima","2015","Al-Ahli (UAE)",2016-06-30,342
"Rodrigo","2015","Valencia",2019-06-30,1460
"Rodrigo","2014","Valencia",2015-06-30,342
"Rodrigo","2010","Bolton",2015-06-30,1764
"Alan Kardec","2014","São Paulo",2015-06-30,364
"Alan Kardec","2013","Palmeiras",2015-06-30,729
"Alan Kardec","2011","Santos",2015-06-30,1460
