Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Maxi Pereira,uy URU,DF,30,32,32,2872,31.9,5,7,12,5,0,0,11,0,0.16,0.22,0.38,0.16,0.38,Matches,6e592fa4
Lima,br BRA,FW,31,34,32,2789,31,19,6,25,16,3,4,0,0,0.61,0.19,0.81,0.52,0.71,Matches,deb26e4c
Jardel,br BRA,DF,28,31,31,2790,31,4,0,4,4,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches,ce9e8024
Luisão,br BRA,DF,33,30,30,2680,29.8,4,1,5,4,0,0,1,1,0.13,0.03,0.17,0.13,0.17,Matches,60a93897
Eduardo Salvio,ar ARG,FWMF,24,29,28,2452,27.2,9,8,17,9,0,0,4,0,0.33,0.29,0.62,0.33,0.62,Matches,5f424f35
Andreas Samaris,gr GRE,MF,25,28,27,2155,23.9,0,2,2,0,0,0,12,0,0,0.08,0.08,0,0.08,Matches,5af687a1
Eliseu,pt POR,DFMF,30,26,26,2283,25.4,4,1,5,4,0,0,7,0,0.16,0.04,0.2,0.16,0.2,Matches,981869fc
Nicolás Gaitán,ar ARG,MF,26,27,26,2136,23.7,4,12,16,4,0,0,6,0,0.17,0.51,0.67,0.17,0.67,Matches,7ebfac0f
Jonas,br BRA,FW,30,27,25,2203,24.5,20,3,23,19,1,1,4,0,0.82,0.12,0.94,0.78,0.9,Matches,9bcd6455
Júlio César,br BRA,GK,34,23,23,2060,22.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,f619413f
Talisca,br BRA,FWMF,20,32,20,1874,20.8,9,1,10,9,0,0,7,1,0.43,0.05,0.48,0.43,0.48,Matches,5c4f4e43
Pizzi,pt POR,FWMF,24,23,15,1280,14.2,2,7,9,2,0,0,1,0,0.14,0.49,0.63,0.14,0.63,Matches,96094cbc
André Almeida,pt POR,DFMF,23,20,12,1213,13.5,0,3,3,0,0,0,7,0,0,0.22,0.22,0,0.22,Matches,67b3d74b
Artur Moraes,br BRA,GK,33,12,11,1000,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,25012505
Enzo Pérez,ar ARG,MF,28,11,11,913,10.1,1,2,3,0,1,1,5,0,0.1,0.2,0.3,0,0.2,Matches,6d27cfc2
Ola John,nl NED,FWMF,22,25,9,1009,11.2,3,5,8,3,0,0,0,0,0.27,0.45,0.71,0.27,0.71,Matches,82b2a290
Lisandro López,ar ARG,DF,24,7,6,454,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8320fe65
Rúben Amorim,pt POR,MF,29,10,2,213,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,a9dfa7ad
César,br BRA,DF,21,3,2,195,2.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,4dcde17a
Miralem Sulejmani,rs SRB,FWMF,25,4,2,135,1.5,0,1,1,0,0,0,0,0,0,0.67,0.67,0,0.67,Matches,615c4d8f
Derley,br BRA,FW,26,16,1,302,3.4,1,2,3,1,0,0,0,0,0.3,0.6,0.89,0.3,0.89,Matches,55353074
Ljubomir Fejsa,rs SRB,MF,25,5,1,191,2.1,1,0,1,1,0,0,2,0,0.47,0,0.47,0.47,0.47,Matches,874d7a32
Bryan Cristante,it ITA,DFMF,19,5,1,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,16657b95
Franco Jara,ar ARG,FW,26,2,1,106,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,413cce14
Loris Benito,ch SUI,DF,22,2,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f5b6fb78
Gonçalo Guedes,pt POR,FWMF,17,5,0,40,0.4,0,1,1,0,0,0,1,0,0,2.25,2.25,0,2.25,Matches,e6bc67d7
Sílvio,pt POR,DF,26,1,0,31,0.3,0,1,1,0,0,0,0,0,0,2.9,2.9,0,2.9,Matches,ec6e2549
Bebé,cv CPV,FWMF,24,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d8712bf9
Hany Mukhtar,de GER,FWMF,19,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,87fe8526
Jonathan Rodríguez,uy URU,FWMF,21,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,86ca9bca
Paulo Lopes,pt POR,GK,36,0,0,,,,,,,,,,,,,,,,Matches,abd0306c
Nélson Oliveira,pt POR,FW,22,0,0,,,,,,,,,,,,,,,,Matches,f716e4e4
Bruno Varela,pt POR,GK,19,0,0,,,,,,,,,,,,,,,,Matches,2bea06e0
