Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Odisseas Vlachodimos,gr GRE,GK,24,34,34,3054,33.9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,03df04ff
Álex Grimaldo,es ESP,DF,22,34,34,3051,33.9,4,12,16,4,0,0,3,0,3.4,3.4,5.6,9,111,176,250,0.12,0.35,0.47,0.12,0.47,0.1,0.17,0.27,0.1,0.27,Matches,b1f4086c
Pizzi,pt POR,MF,28,34,34,2776,30.8,13,18,31,8,5,6,4,0,11,6.3,14.6,20.9,75,300,254,0.42,0.58,1.01,0.26,0.84,0.36,0.47,0.83,0.2,0.68,Matches,96094cbc
André Almeida,pt POR,DF,27,33,33,2914,32.4,2,11,13,2,0,0,6,0,2.3,2.3,6.4,8.7,59,139,208,0.06,0.34,0.4,0.06,0.4,0.07,0.2,0.27,0.07,0.27,Matches,67b3d74b
Rúben Dias,pt POR,DF,21,32,32,2867,31.9,3,1,4,3,0,0,10,0,3,3,0.5,3.4,40,159,6,0.09,0.03,0.13,0.09,0.13,0.09,0.02,0.11,0.09,0.11,Matches,31c69ef1
Rafa Silva,pt POR,MFFW,25,26,21,1914,21.3,17,2,19,17,0,0,6,0,12.6,12.6,5.9,18.6,101,87,144,0.8,0.09,0.89,0.8,0.89,0.59,0.28,0.87,0.59,0.87,Matches,70cf63ca
João Félix,pt POR,FW,18,26,21,1725,19.2,15,7,22,15,0,0,2,0,9.8,9.8,5.7,15.6,53,91,177,0.78,0.37,1.15,0.78,1.15,0.51,0.3,0.81,0.51,0.81,Matches,8aafd64f
Haris Seferović,ch SUI,FW,26,29,20,1969,21.9,23,5,28,23,0,0,1,0,18.2,18.2,4.5,22.7,47,47,174,1.05,0.23,1.28,1.05,1.28,0.83,0.21,1.04,0.83,1.04,Matches,a45eac1f
Jardel,br BRA,DF,32,19,19,1604,17.8,2,0,2,2,0,0,4,1,1.6,1.6,0.2,1.8,17,73,1,0.11,0,0.11,0.11,0.11,0.09,0.01,0.1,0.09,0.1,Matches,ce9e8024
Ljubomir Fejsa,rs SRB,MF,29,18,17,1437,16,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,5,86,8,0,0,0,0,0,0.01,0,0.02,0.01,0.02,Matches,874d7a32
Andreas Samaris,gr GRE,MF,29,19,17,1410,15.7,2,3,5,2,0,0,3,0,0.6,0.6,2.6,3.1,12,81,12,0.13,0.19,0.32,0.13,0.32,0.04,0.16,0.2,0.04,0.2,Matches,5af687a1
Gabriel,br BRA,MF,24,17,14,1253,13.9,0,1,1,0,0,0,4,1,0.6,0.6,1.4,2,11,142,8,0,0.07,0.07,0,0.07,0.05,0.1,0.14,0.05,0.14,Matches,0d10333c
Francisco Reis Ferreira,pt POR,DF,21,13,13,1143,12.7,2,0,2,2,0,0,1,1,0.3,0.3,0.1,0.4,8,56,0,0.16,0,0.16,0.16,0.16,0.02,0.01,0.03,0.02,0.03,Matches,4b3c863f
Franco Cervi,ar ARG,FWMF,24,20,13,1028,11.4,4,2,6,4,0,0,4,0,1.8,1.8,1.7,3.5,31,37,91,0.35,0.18,0.53,0.35,0.53,0.16,0.15,0.3,0.16,0.3,Matches,5e1028e5
Gedson Fernandes,pt POR,MF,19,22,11,1050,11.7,0,2,2,0,0,0,2,0,0.9,0.9,0.6,1.6,42,49,52,0,0.17,0.17,0,0.17,0.08,0.05,0.13,0.08,0.13,Matches,e2dde94c
Jonas,br BRA,FW,34,22,10,1025,11.4,11,1,12,10,1,1,5,1,8.8,8,1.8,9.8,18,36,79,0.97,0.09,1.05,0.88,0.97,0.77,0.15,0.93,0.7,0.86,Matches,9bcd6455
Florentino Luís,pt POR,MF,18,11,9,842,9.4,1,0,1,1,0,0,1,0,0.5,0.5,0,0.5,1,41,5,0.11,0,0.11,0.11,0.11,0.05,0,0.06,0.05,0.06,Matches,881cd6be
Eduardo Salvio,ar ARG,FWMF,28,14,7,656,7.3,2,2,4,2,0,1,0,0,4.4,3.5,1.3,4.8,48,23,83,0.27,0.27,0.55,0.27,0.55,0.61,0.18,0.78,0.49,0.66,Matches,5f424f35
Andrija Živković,rs SRB,FWMF,22,16,6,667,7.4,0,3,3,0,0,0,1,0,0.5,0.5,1.6,2.1,22,47,100,0,0.4,0.4,0,0.4,0.07,0.21,0.28,0.07,0.28,Matches,321f83a2
Facundo Ferreyra,ar ARG,FW,27,5,3,284,3.2,1,0,1,1,0,1,1,0,0.9,0.1,0.1,0.2,1,3,16,0.32,0,0.32,0.32,0.32,0.28,0.02,0.3,0.03,0.05,Matches,b39a793e
Germán Conti,ar ARG,DF,24,4,2,267,3,0,0,0,0,0,0,1,1,0.1,0.1,0,0.1,0,10,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,7b18b6db
Nicolás Castillo,cl CHI,FW,25,4,1,144,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0,0,10,0,0,0,0,0,0.37,0.06,0.43,0.37,0.43,Matches,58a160e1
Adel Taarabt,ma MAR,MFFW,29,6,1,136,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,8,19,8,0,0,0,0,0,0.12,0.28,0.4,0.12,0.4,Matches,47dc80f5
Sébastien Corchia,fr FRA,DF,27,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,0e7ccfc4
Cristian Lema,ar ARG,DF,27,1,1,81,0.9,0,0,0,0,0,0,1,1,,,,,,,,0,0,0,0,0,,,,,,Matches,2c20f2fb
Alfa Semedo,gw GNB,MFDF,20,5,0,102,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,6,2,0,0,0,0,0,0.07,0.03,0.09,0.07,0.09,Matches,7750704
Filip Krovinović,hr CRO,MFFW,22,4,0,40,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,2,2,0,0,0,0,0,0.84,0,0.84,0.84,0.84,Matches,c2dfedeb
Mile Svilar,rs SRB,GK,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bcf5058a
Jota,pt POR,MF,19,0,0,,,0,,,0,0,0,,,0,0,0,0.1,3,1,5,,,,,,0.14,0.07,0.22,0.14,0.22,Matches,2b65fe46
Yuri Ribeiro,pt POR,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,284f2ce6
Bruno Varela,pt POR,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2bea06e0
Ivan Zlobin,ru RUS,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,d8fe652c
