Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Pizzi,pt POR,MF,26,33,33,2836,31.5,10,6,16,10,0,0,5,2,0.32,0.19,0.51,0.32,0.51,Matches,96094cbc
Victor Lindelöf,se SWE,DF,22,32,32,2880,32,1,0,1,1,0,0,1,0,0.03,0,0.03,0.03,0.03,Matches,f5deef4c
Nélson Semedo,pt POR,DF,22,31,31,2780,30.9,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1,Matches,d04b94db
Luisão,br BRA,DF,35,28,28,2336,26,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,60a93897
Ederson,br BRA,GK,22,27,27,2381,26.5,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches,3bb7b8b4
Kostas Mitroglou,gr GRE,FW,28,28,26,2236,24.8,16,3,19,16,0,0,2,0,0.64,0.12,0.76,0.64,0.76,Matches,c6ac6579
Eduardo Salvio,ar ARG,MF,26,29,26,1990,22.1,4,5,9,4,0,0,1,0,0.18,0.23,0.41,0.18,0.41,Matches,5f424f35
Ljubomir Fejsa,rs SRB,MF,27,25,25,2151,23.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,874d7a32
Franco Cervi,ar ARG,MF,22,26,16,1418,15.8,2,2,4,2,0,0,2,0,0.13,0.13,0.25,0.13,0.25,Matches,5e1028e5
Jonas,br BRA,FW,32,19,15,1331,14.8,13,3,16,8,5,5,2,0,0.88,0.2,1.08,0.54,0.74,Matches,9bcd6455
Álex Grimaldo,es ESP,DF,20,14,14,1251,13.9,2,2,4,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches,b1f4086c
Gonçalo Guedes,pt POR,FW,19,16,14,1190,13.2,2,3,5,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,Matches,e6bc67d7
Rafa Silva,pt POR,MFFW,23,20,12,1085,12.1,2,1,3,2,0,0,0,0,0.17,0.08,0.25,0.17,0.25,Matches,70cf63ca
Eliseu,pt POR,DF,32,12,12,994,11,0,2,2,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches,981869fc
André Almeida,pt POR,DF,25,14,10,950,10.6,1,0,1,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches,67b3d74b
Andrija Živković,rs SRB,MF,20,15,10,929,10.3,0,3,3,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches,321f83a2
Andreas Samaris,gr GRE,MF,27,18,9,964,10.7,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,5af687a1
Júlio César,br BRA,GK,36,8,7,664,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f619413f
André Horta,pt POR,MF,19,10,7,647,7.2,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches,951f1739
Raúl Jiménez,mx MEX,FW,25,19,6,787,8.7,7,0,7,5,2,2,3,0,0.8,0,0.8,0.57,0.57,Matches,b561db50
Lisandro López,ar ARG,DF,26,8,6,679,7.5,3,0,3,3,0,0,4,0,0.4,0,0.4,0.4,0.4,Matches,8320fe65
André Carrillo,pe PER,MF,25,20,3,537,6,2,1,3,2,0,0,5,0,0.34,0.17,0.5,0.34,0.5,Matches,7527558b
Filipe Augusto,br BRA,MF,22,9,1,150,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,0e34de55
Jardel,br BRA,DF,30,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ce9e8024
Branimir Kalaica,hr CRO,DF,18,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,Matches,bde6b7ba
Pedro Pereira,pt POR,FW,32,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,f66a3871
Marcelo Hermes,br BRA,MF,21,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,89346085
Guillermo Celis,co COL,MF,23,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fae8f607
Danilo Barbosa,br BRA,MF,20,2,0,38,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,0557ff4f
José Gomes,pt POR,DFFW,17,3,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dca28c55
Paulo Lopes,pt POR,GK,38,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,abd0306c
Luka Jović,rs SRB,FW,18,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4d8cd038
