Player,Nation,Pos,Age,cum_MP,cum_Min,cum_Gls,cum_Ast,cum_PK,cum_CrdY,cum_CrdR,cum_GlsxMin,cum_AstxMin,cum_G+AxMin,Season
Quim,pt POR,GK,31,30.0,2639.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2007
Rui Costa,pt POR,MF,35,29.0,2382.0,5.0,5.0,0.0,6.0,0.0,0.19,0.19,0.38,2007
Kostas Katsouranis,gr GRE,DFMF,28,27.0,2320.0,2.0,1.0,0.0,9.0,0.0,0.08,0.04,0.12,2007
Léo,br BRA,DF,32,27.0,2323.0,0.0,3.0,0.0,2.0,0.0,0.0,0.12,0.12,2007
Óscar Cardozo,py PAR,FW,24,29.0,2283.0,13.0,1.0,3.0,2.0,0.0,0.51,0.04,0.55,2007
Cristian Rodríguez,uy URU,MF,21,24.0,1940.0,6.0,4.0,0.0,3.0,0.0,0.28,0.19,0.46,2007
Maxi Pereira,uy URU,DF,23,23.0,1750.0,2.0,2.0,0.0,6.0,0.0,0.1,0.1,0.21,2007
Nuno Gomes,pt POR,FW,31,25.0,1570.0,7.0,0.0,1.0,2.0,0.0,0.4,0.0,0.4,2007
Luisão,br BRA,DF,26,19.0,1687.0,3.0,0.0,0.0,6.0,0.0,0.16,0.0,0.16,2007
Nélson Marcos,pt POR,DF,24,19.0,1506.0,0.0,1.0,0.0,2.0,1.0,0.0,0.06,0.06,2007
Petit,pt POR,MF,30,17.0,1407.0,1.0,2.0,0.0,5.0,0.0,0.06,0.13,0.19,2007
Edcarlos,br BRA,DF,22,16.0,1312.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2007
Luís Filipe,pt POR,DFMF,28,19.0,1316.0,0.0,1.0,0.0,3.0,0.0,0.0,0.07,0.07,2007
Gilles Binya,cm CMR,MF,22,16.0,1221.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2007
Ángel Di María,ar ARG,FWMF,19,26.0,1410.0,0.0,4.0,0.0,5.0,0.0,0.0,0.26,0.26,2007
