,Player,Nation,Pos,Age,MP,Min,Gls,Ast,PK,CrdY,CrdR,GlsxMin,AstxMin,G+AxMin,Season
0,Quim,pt POR,GK,31,30,2639.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2007
1,Rui Costa,pt POR,MF,35,29,2382.0,5.0,5.0,0.0,6.0,0.0,0.19,0.19,0.38,2007
2,Kostas Katsouranis,gr GRE,DFMF,28,27,2320.0,2.0,1.0,0.0,9.0,0.0,0.08,0.04,0.12,2007
3,Léo,br BRA,DF,32,27,2323.0,0.0,3.0,0.0,2.0,0.0,0.0,0.12,0.12,2007
4,Óscar Cardozo,py PAR,FW,24,29,2283.0,13.0,1.0,3.0,2.0,0.0,0.51,0.04,0.55,2007
5,Cristian Rodríguez,uy URU,MF,21,24,1940.0,6.0,4.0,0.0,3.0,0.0,0.28,0.19,0.46,2007
6,Maxi Pereira,uy URU,DF,23,23,1750.0,2.0,2.0,0.0,6.0,0.0,0.1,0.1,0.21,2007
7,Nuno Gomes,pt POR,FW,31,25,1570.0,7.0,0.0,1.0,2.0,0.0,0.4,0.0,0.4,2007
8,Luisão,br BRA,DF,26,19,1687.0,3.0,0.0,0.0,6.0,0.0,0.16,0.0,0.16,2007
9,Nélson Marcos,pt POR,DF,24,19,1506.0,0.0,1.0,0.0,2.0,1.0,0.0,0.06,0.06,2007
10,Petit,pt POR,MF,30,17,1407.0,1.0,2.0,0.0,5.0,0.0,0.06,0.13,0.19,2007
11,Edcarlos,br BRA,DF,22,16,1312.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2007
12,Luís Filipe,pt POR,DFMF,28,19,1316.0,0.0,1.0,0.0,3.0,0.0,0.0,0.07,0.07,2007
13,Gilles Binya,cm CMR,MF,22,16,1221.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2007
14,Ángel Di María,ar ARG,FWMF,19,26,1410.0,0.0,4.0,0.0,5.0,0.0,0.0,0.26,0.26,2007
15,Nuno Assis,pt POR,MF,29,17,713.0,1.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,2007
16,David Luiz,br BRA,DFMF,20,8,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
17,László Sepsi,ro ROU,DF,20,7,216.0,0.0,1.0,0.0,1.0,0.0,0.0,0.42,0.42,2007
19,Ariza Makukula,pt POR,FW,26,3,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
20,Fábio Coentrão,pt POR,DF,19,3,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
21,Marco Zoro,ci CIV,DF,23,2,75.0,1.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,2007
22,Mantorras,ao ANG,FW,25,9,155.0,1.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,2007
23,Freddy Adu,us USA,FWMF,18,11,143.0,2.0,0.0,0.0,1.0,0.0,1.26,0.0,1.26,2007
24,Hans-Jörg Butt,de GER,GK,33,1,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
25,Gonzalo Bergessio,ar ARG,FW,23,3,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
26,Romeu Ribeiro,pt POR,MF,18,5,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2007
27,Andrés Díaz,ar ARG,MF,24,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
0,Maxi Pereira,uy URU,DF,24,28,2520.0,1.0,0.0,0.0,5.0,0.0,0.04,0.0,0.04,2008
1,Rúben Amorim,pt POR,MF,23,26,1883.0,2.0,2.0,0.0,5.0,0.0,0.1,0.1,0.19,2008
2,Sidnei,br BRA,DF,18,24,1993.0,3.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,2008
3,Óscar Cardozo,py PAR,FW,25,26,1893.0,17.0,3.0,4.0,1.0,0.0,0.81,0.14,0.95,2008
4,Luisão,br BRA,DF,27,21,1890.0,2.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,2008
5,Kostas Katsouranis,gr GRE,DFMF,29,24,1814.0,2.0,0.0,0.0,10.0,1.0,0.1,0.0,0.1,2008
6,José Antonio Reyes,es ESP,MF,24,24,1701.0,4.0,0.0,2.0,6.0,1.0,0.21,0.0,0.21,2008
7,Pablo Aimar,ar ARG,MF,28,22,1682.0,1.0,5.0,0.0,6.0,0.0,0.05,0.27,0.32,2008
8,Hassan Yebda,dz ALG,MF,24,25,1661.0,1.0,1.0,0.0,7.0,0.0,0.05,0.05,0.11,2008
9,David Luiz,br BRA,DFMF,21,19,1546.0,2.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,2008
10,Carlos Martins,pt POR,MF,26,24,1333.0,0.0,3.0,0.0,2.0,0.0,0.0,0.2,0.2,2008
11,Quim,pt POR,GK,32,16,1440.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2008
