"player_name","season","transfer_date","team_from","team_to","market_value","transfer_value","contract_expiry","days_remaining"
"Ederson","17/18",2017-07-01,"Benfica","Man City",2.2e+07,4e+07,2023-06-30,2190
"Júlio César","17/18",2017-11-28,"Benfica","Without Club",NA,NA,2018-06-30,214
"Paulo Lopes","18/19",2018-07-01,"Benfica","Retired",NA,NA,NA,NA
"Paulo Lopes","02/03",2002-07-01,"Benfica","Salgueiros",NA,NA,NA,NA
"Paulo Lopes","99/00",1999-07-01,"Benfica","Gil Vicente",NA,NA,NA,NA
"Victor Lindelöf","17/18",2017-07-01,"Benfica","Man Utd",2.2e+07,3.5e+07,2021-06-30,1460
"Lisandro López","19/20",2020-01-01,"Benfica","Boca Juniors",3500000,3e+06,2021-06-30,546
"Lisandro López","18/19",2019-01-30,"Benfica","Boca Juniors",2500000,NA,2021-06-30,882
"Lisandro López","18/19",2018-08-08,"Benfica","Genoa",4e+06,NA,2021-06-30,1057
"Lisandro López","17/18",2018-01-15,"Benfica","Inter",5e+06,NA,2021-06-30,1262
"Lisandro López","13/14",2013-09-01,"Benfica","Getafe",7e+06,NA,2018-06-30,1763
"Jardel","21/22",2021-07-01,"Benfica","Without Club",NA,NA,NA,NA
"Luisão","18/19",2018-09-25,"Benfica","Retired",NA,NA,2019-06-30,278
"Yuri Ribeiro","19/20",2019-07-08,"Benfica","Nottm Forest",1500000,NA,2023-06-30,1453
"Eliseu","18/19",2018-07-01,"Benfica","Retired",NA,NA,NA,NA
"Marcelo Hermes","18/19",2019-01-25,"Benfica","Cruzeiro",NA,0,2021-06-30,887
"Marcelo Hermes","17/18",2018-01-08,"Benfica","Cruzeiro",NA,NA,2021-06-30,1269
"Nélson Semedo","17/18",2017-07-14,"Benfica","Barcelona",2e+07,35700000,2021-06-30,1447
"André Almeida","22/23",2023-01-31,"Benfica","Without Club",NA,NA,NA,NA
"André Almeida","11/12",2011-07-04,"Benfica","Leiria",NA,NA,2023-06-30,4379
"Pedro Pereira","22/23",2022-07-01,"Benfica","Monza",2300000,2500000,NA,NA
"Pedro Pereira","21/22",2021-07-23,"Benfica","Monza",2e+06,NA,2022-06-30,342
"Pedro Pereira","20/21",2020-09-21,"Benfica","Crotone",1800000,NA,2022-06-30,647
"Pedro Pereira","19/20",2019-08-07,"Benfica","Bristol City",2e+06,NA,2022-06-30,1058
"Pedro Pereira","17/18",2018-01-24,"Benfica","Genoa",2e+06,NA,2022-06-30,1618
"Ljubomir Fejsa","20/21",2020-09-24,"Benfica","Al-Ahli SFC",2800000,NA,2021-06-30,279
"Ljubomir Fejsa","19/20",2020-01-29,"Benfica","Alavés",3500000,NA,2021-06-30,518
"Andreas Samaris","21/22",2021-08-31,"Benfica","Without Club",2e+06,NA,2023-06-30,668
"Danilo Barbosa","16/17",2017-01-24,"Benfica","SC Braga",7e+06,NA,2017-06-30,157
"Filipe Augusto","18/19",2019-01-30,"Benfica","Rio Ave FC",NA,NA,2022-06-30,1247
"Filipe Augusto","17/18",2018-01-25,"Benfica","Alanyaspor",2e+06,NA,2022-06-30,1617
"Guillermo Celis","17/18",2017-07-18,"Benfica","Vit. Guimarães",2e+06,1750000,2021-06-30,1443
"Guillermo Celis","16/17",2017-01-31,"Benfica","Vit. Guimarães",2e+06,NA,2021-06-30,1611
"André Carrillo","19/20",2019-07-23,"Benfica","Al-Hilal SFC",7e+06,9500000,2021-06-30,708
"André Carrillo","18/19",2018-07-20,"Benfica","Al-Hilal SFC",6e+06,NA,2021-06-30,1076
"André Carrillo","17/18",2017-08-24,"Benfica","Watford",6e+06,NA,2021-06-30,1406
"André Horta","18/19",2018-07-10,"Benfica","LAFC",6e+06,5700000,2021-06-30,1086
"André Horta","17/18",2017-08-30,"Benfica","SC Braga",2e+06,NA,2021-06-30,1400
"Pizzi","22/23",2022-07-27,"Benfica","Al-Wahda FC",4e+06,0,2023-06-30,338
"Pizzi","21/22",2022-02-08,"Benfica","Basaksehir",8e+06,NA,2023-06-30,507
"Pizzi","13/14",2013-07-28,"Benfica","Espanyol",6e+06,NA,2023-06-30,3624
"Franco Cervi","21/22",2021-07-05,"Benfica","Celta de Vigo",5e+06,5e+06,2023-06-30,725
"Eduardo Salvio","19/20",2019-07-18,"Benfica","Boca Juniors",1e+07,7e+06,2022-06-30,1078
"Eduardo Salvio","10/11",2011-06-30,"Benfica","Atlético Madrid",1e+07,NA,2011-06-30,0
"Andrija Zivkovic","20/21",2020-09-08,"Benfica","PAOK Salonika",4e+06,0,2021-06-30,295
"Gonçalo Guedes","22/23",2023-06-30,"Benfica","Wolves",2.8e+07,NA,2023-06-30,0
"Gonçalo Guedes","16/17",2017-01-25,"Benfica","Paris SG",9e+06,3e+07,2021-06-30,1617
"Jonas","19/20",2019-07-09,"Benfica","Retired",NA,NA,2020-06-30,357
"Raúl Jiménez","19/20",2019-07-01,"Benfica","Wolves",3.5e+07,3.8e+07,2021-06-30,730
"Raúl Jiménez","18/19",2018-07-01,"Benfica","Wolves",1.5e+07,NA,2020-06-30,730
"Konstantinos Mitroglou","17/18",2017-08-31,"Benfica","Marseille",1.2e+07,1.5e+07,2020-06-30,1034
"Konstantinos Mitroglou","15/16",2016-06-30,"Benfica","Fulham",9500000,NA,2016-06-30,0
"Luka Jović","19/20",2019-07-01,"Benfica","E. Frankfurt",6e+07,22340000,2021-06-30,730
"Luka Jović","17/18",2017-07-01,"Benfica","E. Frankfurt",2e+06,NA,2021-06-30,1460
