"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Helton Leite","2022","Antalyaspor",2025-06-30,892
"Mile Svilar","2022","AS Roma",NA,NA
"Ferro","2022","Hajduk Split",2024-06-30,501
"Ferro","2022","Vitesse",2024-06-30,716
"Ferro","2021","Hajduk Split",2024-06-30,881
"Ferro","2020","Valencia",2024-06-30,1246
"Jan Vertonghen","2022","RSC Anderlecht",2023-06-30,301
"Tomás Araújo","2022","Gil Vicente",NA,NA
"Sandro Cruz","2022","Chaves",2024-06-30,708
"Valentino Lazaro","2021","Inter",2022-06-30,0
"André Almeida","2022","Without Club",NA,NA
"André Almeida","2011","Leiria",2023-06-30,4379
"Julian Weigl","2022","Bor. M'gladbach",2024-06-30,668
"Florentino","2021","Getafe",2024-06-30,1034
"Florentino","2020","Monaco",2027-06-30,2469
"Gedson Fernandes","2022","Besiktas",2025-06-30,1095
"Gedson Fernandes","2021","C. Rizespor",2025-06-30,1243
"Gedson Fernandes","2020","Galatasaray",2023-06-30,879
"Gedson Fernandes","2019","Tottenham",2023-06-30,1262
"Soualiho Meïté","2022","Cremonese",2026-06-30,1398
"Paulo Bernardo","2022","Paços Ferreira",2027-06-30,1611
"Adel Taarabt","2022","Al-Nasr SC",2023-06-30,279
"Adel Taarabt","2018","Benfica B",2020-06-30,730
"Adel Taarabt","2016","Genoa",2020-06-30,1267
"Pizzi","2022","Al-Wahda FC",2023-06-30,338
"Pizzi","2021","Basaksehir",2023-06-30,507
"Pizzi","2013","Espanyol",2023-06-30,3624
"Éverton","2022","Flamengo",2025-06-30,1078
"Nemanja Radonjić","2021","Marseille",2022-06-30,0
"Diogo Gonçalves","2022","FC Copenhagen",2025-06-30,907
"Diogo Gonçalves","2019","Famalicão",2022-06-30,1095
"Diogo Gonçalves","2018","Nottm Forest",2025-06-30,2556
"Gil Dias","2022","VfB Stuttgart",2026-06-30,1247
"Tiago Gouveia","2022","Estoril Praia",2024-06-30,704
"Luca Waldschmidt","2021","VfL Wolfsburg",2025-06-30,1408
"Darwin Núñez","2022","Liverpool",2025-06-30,1095
"Roman Yaremchuk","2022","Club Brugge",2026-06-30,1401
"Haris Seferovic","2022","Celta de Vigo",2024-06-30,516
"Haris Seferovic","2022","Galatasaray",2024-06-30,711
"Carlos Vinícius","2022","Fulham",2024-06-30,668
"Carlos Vinícius","2021","PSV Eindhoven",2024-06-30,1034
"Carlos Vinícius","2020","Tottenham",2024-06-30,1367
"Henrique Araújo","2022","Watford",2027-06-30,1619
"Rodrigo Pinho","2022","Coritiba FC",2026-06-30,1276
