"comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Júlio César","Goalkeeper",1979-09-03,NA,"Brazil",NA,"1.86","left","2014-08-19","Queens Park Rangers",NA,1200000,"https://www.transfermarkt.com/julio-cesar/profil/spieler/22412"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Ederson","Goalkeeper",1993-08-17,NA,"Brazil","Manchester City","1.88","left","2015-07-01","Rio Ave FC","2026-06-30",1200000,"https://www.transfermarkt.com/ederson/profil/spieler/238223"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Paulo Lopes","Goalkeeper",1978-06-29,NA,"Portugal",NA,"1.84","right","2012-07-01","CD Feirense",NA,NA,"https://www.transfermarkt.com/paulo-lopes/profil/spieler/25236"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Victor Lindelöf","Centre-Back",1994-07-17,NA,"Sweden","Manchester United","1.87","right","2015-07-01","SL Benfica B","2024-06-30",8e+06,"https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Lisandro López","Centre-Back",1989-09-01,NA,"Argentina","Club Tijuana","1.87","right","2013-07-10","Arsenal Fútbol Club","2024-12-31",7e+06,"https://www.transfermarkt.com/lisandro-lopez/profil/spieler/125019"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Jardel","Centre-Back",1986-03-29,NA,"Brazil","Without Club","1.92","right","2011-01-01","Desportivo Brasil Ltda (SP)",NA,6500000,"https://www.transfermarkt.com/jardel/profil/spieler/122946"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Luisão","Centre-Back",1981-02-13,NA,"Brazil",NA,"1.95","right","2003-08-01","Cruzeiro Esporte Clube",NA,2500000,"https://www.transfermarkt.com/luisao/profil/spieler/13230"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Rúben Dias","Centre-Back",1997-05-14,NA,"Portugal","Manchester City","1.87","right","2017-07-01","SL Benfica B","2027-06-30",NA,"https://www.transfermarkt.com/ruben-dias/profil/spieler/258004"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Eliseu","Left-Back",1983-10-01,NA,"Portugal",NA,"1.76","left","2014-07-24","Málaga CF",NA,2e+06,"https://www.transfermarkt.com/eliseu/profil/spieler/14192"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","3","Alejandro Grimaldo","Left-Back",1995-09-20,NA,"Spain","SL Benfica","1.71","left","2016-01-01","FC Barcelona B","2023-06-30",1500000,"https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","André Almeida","Right-Back",1990-09-10,NA,"Portugal","Without Club","1.85","right","2011-07-01","CF Os Belenenses",NA,6e+06,"https://www.transfermarkt.com/andre-almeida/profil/spieler/83466"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Nélson Semedo","Right-Back",1993-11-16,NA,"Portugal","Wolverhampton Wanderers","1.77","right","2015-07-01","SL Benfica B","2023-06-30",3750000,"https://www.transfermarkt.com/nelson-semedo/profil/spieler/231572"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Sílvio","Right-Back",1987-09-28,NA,"Portugal","UD Vilafranquense","1.76","right","2013-07-09","Atlético de Madrid","2023-06-30",2e+06,"https://www.transfermarkt.com/silvio/profil/spieler/84511"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Andreas Samaris","Defensive Midfield",1989-06-13,NA,"Greece","Rio Ave FC","1.89","right","2014-08-22","Olympiacos Piraeus","2023-06-30",9e+06,"https://www.transfermarkt.com/andreas-samaris/profil/spieler/140032"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Ljubomir Fejsa","Defensive Midfield",1988-08-14,NA,"Serbia","FK Partizan Belgrade","1.83","right","2013-08-24","Olympiacos Piraeus","2023-06-30",6500000,"https://www.transfermarkt.com/ljubomir-fejsa/profil/spieler/46110"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Bryan Cristante","Defensive Midfield",1995-03-03,NA,"Italy","AS Roma","1.86","right","2014-09-01","AC Milan","2024-06-30",3e+06,"https://www.transfermarkt.com/bryan-cristante/profil/spieler/199248"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Renato Sanches","Central Midfield",1997-08-18,NA,"Portugal","Paris Saint-Germain","1.76","right","2015-10-30","SL Benfica B","2027-06-30",2e+07,"https://www.transfermarkt.com/renato-sanches/profil/spieler/258027"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Adel Taarabt","Central Midfield",1989-05-24,NA,"Morocco","Al-Nasr SC (UAE)","1.85","right","2019-03-30","SL Benfica B",NA,1500000,"https://www.transfermarkt.com/adel-taarabt/profil/spieler/45287"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Nico Gaitán","Attacking Midfield",1988-02-23,NA,"Argentina","FC Paços de Ferreira","1.74","left","2010-07-01","CA Boca Juniors","2023-06-30",3e+07,"https://www.transfermarkt.com/nico-gaitan/profil/spieler/75442"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Pizzi","Attacking Midfield",1989-10-06,NA,"Portugal","SC Braga","1.77","right","2013-07-26","Atlético de Madrid","2024-06-30",1.1e+07,"https://www.transfermarkt.com/pizzi/profil/spieler/64339"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Talisca","Attacking Midfield",1994-02-01,NA,"Brazil","Al-Nassr FC","1.9","left","2014-07-05","Esporte Clube Bahia","2024-06-30",8500000,"https://www.transfermarkt.com/talisca/profil/spieler/258626"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Filip Djuricic","Attacking Midfield",1992-01-30,NA,"Serbia","UC Sampdoria","1.81","right","2013-07-01","SC Heerenveen","2024-06-30",4500000,"https://www.transfermarkt.com/filip-djuricic/profil/spieler/94307"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","João Teixeira","Attacking Midfield",1994-02-06,NA,"Portugal","GD Chaves","1.78","right",NA,NA,"2023-06-30",1e+06,"https://www.transfermarkt.com/joao-teixeira/profil/spieler/182710"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Ola John","Left Winger",1992-05-19,NA,"Netherlands","Al-Hazem SC","1.79","right","2012-07-01","Twente Enschede FC","2023-06-30",5e+06,"https://www.transfermarkt.com/ola-john/profil/spieler/124550"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Victor Andrade","Left Winger",1995-09-30,NA,"Brazil","Vila Nova Futebol Clube (GO)","1.77","right","2015-07-01","SL Benfica B","2023-12-31",1500000,"https://www.transfermarkt.com/victor-andrade/profil/spieler/203323"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Nuno Santos","Left Winger",1995-02-13,NA,"Portugal","Sporting CP","1.77","left",NA,NA,"2025-06-30",NA,"https://www.transfermarkt.com/nuno-santos/profil/spieler/290391"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Clésio Baúque","Left Winger",1994-10-11,NA,"Mozambique","FC Honka","1.74","right",NA,NA,NA,NA,"https://www.transfermarkt.com/clesio-bauque/profil/spieler/211796"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Eduardo Salvio","Right Winger",1990-07-13,NA,"Argentina","UNAM Pumas","1.73","right","2012-07-31","Atlético de Madrid","2024-06-30",1.8e+07,"https://www.transfermarkt.com/eduardo-salvio/profil/spieler/84535"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Mehdi Carcela-González","Right Winger",1989-07-01,NA,"Morocco","Without Club","1.79","left","2015-07-01","Standard Liège",NA,5e+06,"https://www.transfermarkt.com/mehdi-carcela-gonzalez/profil/spieler/42714"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Jonas","Second Striker",1984-04-01,NA,"Brazil",NA,"1.82","right","2014-09-12","Without Club",NA,1.1e+07,"https://www.transfermarkt.com/jonas/profil/spieler/50143"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","15","Gonçalo Guedes","Second Striker",1996-11-29,NA,"Portugal","SL Benfica","1.79","right","2023-01-19","Wolverhampton Wanderers","2023-06-30",7e+06,"https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Konstantinos Mitroglou","Centre-Forward",1988-03-12,NA,"Greece","SpVgg Rheurdt-Schaephuysen","1.88","both","2016-07-01","Fulham FC",NA,9500000,"https://www.transfermarkt.com/konstantinos-mitroglou/profil/spieler/34944"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Raúl Jiménez","Centre-Forward",1991-05-05,NA,"Mexico","Wolverhampton Wanderers","1.88","right","2015-08-13","Atlético de Madrid","2024-06-30",8e+06,"https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Jonathan Rodríguez","Centre-Forward",1993-07-06,NA,"Uruguay","CF América","1.78","right","2015-01-29","CA Peñarol","2026-06-30",2500000,"https://www.transfermarkt.com/jonathan-rodriguez/profil/spieler/280795"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Luka Jović","Centre-Forward",1997-12-23,NA,"Serbia","ACF Fiorentina","1.82","both","2016-01-31","Apollon Limassol","2024-06-30",2e+06,"https://www.transfermarkt.com/luka-jovi%C4%87/profil/spieler/257462"
"Liga Portugal",NA,"Portugal",2015,"SL Benfica","-","Francisco Vera","Centre-Forward",1994-05-21,NA,"Paraguay","Unknown","1.85"," ",NA,NA,NA,NA,"https://www.transfermarkt.com/francisco-vera/profil/spieler/379188"
