"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Mile Svilar","2022","AS Roma",NA,NA
"Ivan Zlobin","2020","Famalicão",2024-06-30,1408
"Rúben Dias","2020","Man City",2024-06-30,1370
"Ferro","2022","Hajduk Split",2024-06-30,501
"Ferro","2022","Vitesse",2024-06-30,716
"Ferro","2021","Hajduk Split",2024-06-30,881
"Ferro","2020","Valencia",2024-06-30,1246
"Germán Conti","2022","Loko Moscow",2023-06-30,151
"Germán Conti","2021","América-MG",2023-06-30,540
"Germán Conti","2020","EC Bahia",2023-06-30,833
"Germán Conti","2019","Atlas",2023-06-30,1276
"Jardel","2021","Without Club",NA,NA
"Nuno Tavares","2021","Arsenal",2024-06-30,1086
"Tomás Tavares","2022","Spartak Moscow",2024-06-30,523
"Tomás Tavares","2021","FC Basel",2024-06-30,1034
"Tomás Tavares","2020","Farense",2024-06-30,1259
"Tomás Tavares","2020","Alavés",2024-06-30,1366
"André Almeida","2022","Without Club",NA,NA
"André Almeida","2011","Leiria",2023-06-30,4379
"Tyronne Ebuehi","2019","Benfica B",2023-06-30,1398
"Julian Weigl","2022","Bor. M'gladbach",2024-06-30,668
"Florentino","2021","Getafe",2024-06-30,1034
"Florentino","2020","Monaco",2027-06-30,2469
"Andreas Samaris","2021","Without Club",2023-06-30,668
"Ljubomir Fejsa","2020","Al-Ahli SFC",2021-06-30,279
"Ljubomir Fejsa","2019","Alavés",2021-06-30,518
"Gedson Fernandes","2022","Besiktas",2025-06-30,1095
"Gedson Fernandes","2021","C. Rizespor",2025-06-30,1243
"Gedson Fernandes","2020","Galatasaray",2023-06-30,879
"Gedson Fernandes","2019","Tottenham",2023-06-30,1262
"Gabriel Pires","2022","Botafogo",2024-06-30,688
"Gabriel Pires","2021","Al-Gharafa SC",2024-06-30,1006
"Adel Taarabt","2022","Al-Nasr SC",2023-06-30,279
"Adel Taarabt","2018","Benfica B",2020-06-30,730
"Adel Taarabt","2016","Genoa",2020-06-30,1267
"Tiago Dantas","2022","PAOK Salonika",2024-06-30,730
"Tiago Dantas","2021","Tondela",2024-06-30,1089
"Tiago Dantas","2020","Bayern Munich",2024-06-30,1364
"Caio Lucas","2021","Sharjah FC",2023-06-30,724
"Caio Lucas","2019","Sharjah FC",2023-06-30,1254
"Pizzi","2022","Al-Wahda FC",2023-06-30,338
"Pizzi","2021","Basaksehir",2023-06-30,507
"Pizzi","2013","Espanyol",2023-06-30,3624
"Chiquinho","2021","Giresunspor",2024-06-30,874
"Chiquinho","2021","SC Braga",2024-06-30,1034
"Chiquinho","2018","Moreirense",2023-06-30,1802
"Jota","2022","Celtic",2024-06-30,730
"Jota","2021","Celtic",2024-06-30,1034
"Jota","2020","Real Valladolid",2024-06-30,1364
"Franco Cervi","2021","Celta de Vigo",2023-06-30,725
"Andrija Zivkovic","2020","PAOK Salonika",2021-06-30,295
"Raúl de Tomás","2019","Espanyol",2024-06-30,1634
"Carlos Vinícius","2022","Fulham",2024-06-30,668
"Carlos Vinícius","2021","PSV Eindhoven",2024-06-30,1034
"Carlos Vinícius","2020","Tottenham",2024-06-30,1367
"Haris Seferovic","2022","Celta de Vigo",2024-06-30,516
"Haris Seferovic","2022","Galatasaray",2024-06-30,711
"Dyego Sousa","2020","SZ FC",2020-12-31,88
