club_name,player_name,age,position,club_involved_name,fee,transfer_period,fee_cleaned,league_name,year
SL Benfica,Ángel Di María,22.0,Right Winger,Real Madrid,€33.00m,Summer,33000000.0,Liga Nos,2010
SL Benfica,Ramires,23.0,Central Midfield,Chelsea,€22.00m,Summer,22000000.0,Liga Nos,2010
SL Benfica,Rafik Halliche,23.0,Centre-Back,Fulham,€2.50m,Summer,2500000.0,Liga Nos,2010
SL Benfica,Ariza Makukula,29.0,Centre-Forward,Manisaspor,€1.70m,Summer,1700000.0,Liga Nos,2010
SL Benfica,David Luiz,23.0,Centre-Back,Chelsea,€25.00m,Winter,25000000.0,Liga Nos,2010
SL Benfica,Patric,21.0,Right-Back,Atlético-MG,€1.00m,Winter,1000000.0,Liga Nos,2010
SL Benfica,Fábio Coentrão,23.0,Left-Back,Real Madrid,€30.00m,Summer,30000000.0,Liga Nos,2011
SL Benfica,Roberto,25.0,Goalkeeper,Real Zaragoza,€8.60m,Summer,8600000.0,Liga Nos,2011
SL Benfica,Axel Witsel,23.0,Defensive Midfield,Zenit S-Pb,€40.00m,Summer,40000000.0,Liga Nos,2012
SL Benfica,Javi García,25.0,Defensive Midfield,Man City,€20.20m,Summer,20200000.0,Liga Nos,2012
SL Benfica,Ishmael Yartey,22.0,Left Winger,FC Sochaux,€2.00m,Summer,2000000.0,Liga Nos,2012
SL Benfica,Émerson Conceição,26.0,Left-Back,Trabzonspor,€1.60m,Summer,1600000.0,Liga Nos,2012
SL Benfica,Fellipe Bastos,22.0,Central Midfield,Vasco da Gama,€1.50m,Summer,1500000.0,Liga Nos,2012
SL Benfica,Éder Luís,27.0,Right Winger,Vasco da Gama,€1.50m,Summer,1500000.0,Liga Nos,2012
SL Benfica,Daniel Wass,23.0,Central Midfield,Évian,€1.20m,Summer,1200000.0,Liga Nos,2012
SL Benfica,Bruno César,24.0,Central Midfield,Al-Ahli SFC,€5.00m,Winter,5000000.0,Liga Nos,2012
SL Benfica,Roberto,27.0,Goalkeeper,Atlético Madrid,€6.00m,Summer,6000000.0,Liga Nos,2013
