player_name,age,position,club_involved_name,transfer_period,fee_cleaned,year,cum_MP,cum_Min,cum_Gls,cum_Ast,cum_PK,cum_CrdY,cum_CrdR,cum_GlsxMin,cum_AstxMin,cum_G+AxMin,days_remaining
Ángel Di María,22.0,Right Winger,Real Madrid,Summer,33000000.0,2010,25.80393904286605,2141.138044737545,4.651991801087247,9.944211745833703,0.0,8.270653239461721,0.8911861687906603,0.1929418055431779,0.4017877194545939,0.594729524997772,1825.0
Ramires,23.0,Central Midfield,Chelsea,Summer,22000000.0,2010,26.0,1945.0,4.0,3.0,0.0,2.0,0.0,0.19,0.14,0.32,1782.0
Fábio Coentrão,23.0,Left-Back,Real Madrid,Summer,30000000.0,2011,23.02232446852544,2018.823073246154,1.780260647961468,3.2578769857694865,0.0,7.210055624243946,1.780260647961468,0.080111729158266,0.1450912428088596,0.2252029719671257,1456.0
Roberto,25.0,Goalkeeper,Real Zaragoza,Summer,8600000.0,2011,25.0,2227.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1761.0
Axel Witsel,23.0,Defensive Midfield,Zenit S-Pb,Summer,40000000.0,2012,29.0,2281.0,1.0,3.0,1.0,5.0,0.0,0.04,0.12,0.16,760.0
Javi García,25.0,Defensive Midfield,Man City,Summer,20200000.0,2012,22.23919436770341,1740.9480438463595,1.1195971838517065,0.1195971838517066,0.0,8.901969521433026,0.0980304785669726,0.0546760538276445,0.0047838873540682,0.0594599411817128,760.0
Lorenzo Melgarejo,23.0,Left Winger,Kuban Krasnodar,Summer,5000000.0,2013,21.0,1870.0,2.0,3.0,0.0,4.0,1.0,0.1,0.14,0.24,1032.0
Nolito,26.0,Left Winger,Celta de Vigo,Summer,4000000.0,2013,8.27927927927928,330.3063063063063,1.9909909909909909,0.6936936936936936,0.0,0.4954954954954954,0.0,0.4928828828828828,0.0386486486486486,0.5315315315315314,1095.0
Jan Oblak,21.0,Goalkeeper,Atlético Madrid,Summer,16000000.0,2014,16.0,1351.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,379.0
Ezequiel Garay,27.0,Centre-Back,Zenit S-Pb,Summer,6000000.0,2014,26.967649942072896,2420.6345245521784,5.466714196595667,0.0,0.0,2.9019695214330268,0.0,0.2008448444880135,0.0,0.2008448444880135,1611.0
